log_id,equipment_id,maintenance_date,maintenance_type,symptom,action_taken,parts_replaced,downtime_minutes,technician_notes,linked_failure_report_id
ML-0001,EQ-012,2026-05-03,Inspection,temperature rise with reduced coolant flow,"flush cooling line, clean strainer, verify flow rate before releasing equipment",SP-FILTER-002; SP-GASKET-001,11,Cooling Flow Restriction suspected on Cooling Tower Fan. Action followed SOP_cooling_flow_drop.,FR-001
ML-0002,EQ-012,2026-05-03,Inspection,rising vibration and abnormal bearing noise,"inspect bearing housing, verify lubrication flow, replace bearing if vibration remains high",SP-BEAR-001; SP-GREASE-001,53,Bearing Wear suspected on Cooling Tower Fan. Action followed SOP_bearing_replacement.,FR-002
ML-0003,EQ-001,2026-05-04,Condition-Based,pressure drop with increasing pump temperature,"isolate pump, inspect suction strainer and seal kit, restore pressure before restart",SP-SEAL-001; SP-FILTER-001,63,Hydraulic Leakage suspected on Caster Hydraulic Pump. Action followed SOP_hydraulic_pump_overheating.,FR-003
ML-0004,EQ-004,2026-05-05,Corrective,oil level drop with heat buildup,"top up oil, inspect lubrication line, replace clogged filter, verify pump discharge",SP-OIL-001; SP-FILTER-003,169,Lubrication Failure suspected on Ladle Crane Gearbox. Action followed SOP_lubrication_failure_response.,FR-004
ML-0005,EQ-004,2026-05-05,Corrective,high vibration during load changes,"check alignment, inspect coupling, tighten foundation bolts, monitor vibration trend",SP-COUPLING-001; SP-BOLT-001,131,Gearbox Misalignment suspected on Ladle Crane Gearbox. Action followed SOP_gearbox_vibration_inspection.,FR-005
ML-0006,EQ-010,2026-05-05,Condition-Based,rising vibration and abnormal bearing noise,"inspect bearing housing, verify lubrication flow, replace bearing if vibration remains high",SP-BEAR-001; SP-GREASE-001,287,Bearing Wear suspected on Air Compressor. Action followed SOP_bearing_replacement.,FR-006
ML-0007,EQ-007,2026-05-06,Corrective,temperature rise with reduced coolant flow,"flush cooling line, clean strainer, verify flow rate before releasing equipment",SP-FILTER-002; SP-GASKET-001,158,Cooling Flow Restriction suspected on Dust Collector Fan. Action followed SOP_cooling_flow_drop.,FR-007
ML-0008,EQ-012,2026-05-06,Inspection,rising vibration and abnormal bearing noise,"inspect bearing housing, verify lubrication flow, replace bearing if vibration remains high",SP-BEAR-001; SP-GREASE-001,79,Bearing Wear suspected on Cooling Tower Fan. Action followed SOP_bearing_replacement.,FR-008
ML-0009,EQ-003,2026-05-06,Inspection,high vibration during load changes,"check alignment, inspect coupling, tighten foundation bolts, monitor vibration trend",SP-COUPLING-001; SP-BOLT-001,172,Gearbox Misalignment suspected on Blast Furnace Blower. Action followed SOP_gearbox_vibration_inspection.,FR-009
ML-0010,EQ-003,2026-05-06,Condition-Based,rising vibration and abnormal bearing noise,"inspect bearing housing, verify lubrication flow, replace bearing if vibration remains high",SP-BEAR-001; SP-GREASE-001,140,Bearing Wear suspected on Blast Furnace Blower. Action followed SOP_bearing_replacement.,FR-010
ML-0011,EQ-006,2026-05-07,Inspection,temperature rise with reduced coolant flow,"flush cooling line, clean strainer, verify flow rate before releasing equipment",SP-FILTER-002; SP-GASKET-001,148,Cooling Flow Restriction suspected on Conveyor Drive Unit. Action followed SOP_cooling_flow_drop.,FR-011
ML-0012,EQ-009,2026-05-08,Inspection,current spike and repeated overload trip,"check load coupling, verify phase current balance, inspect motor winding temperature",SP-CONTACTOR-001; SP-FUSE-001,255,Motor Overload suspected on Scale Breaker Motor. Action followed SOP_motor_overload_trip.,FR-012
ML-0013,EQ-005,2026-05-08,Condition-Based,temperature rise with reduced coolant flow,"flush cooling line, clean strainer, verify flow rate before releasing equipment",SP-FILTER-002; SP-GASKET-001,173,Cooling Flow Restriction suspected on Cooling Water Pump. Action followed SOP_cooling_flow_drop.,FR-013
ML-0014,EQ-009,2026-05-09,Condition-Based,rising vibration and abnormal bearing noise,"inspect bearing housing, verify lubrication flow, replace bearing if vibration remains high",SP-BEAR-001; SP-GREASE-001,46,Bearing Wear suspected on Scale Breaker Motor. Action followed SOP_bearing_replacement.,FR-014
ML-0015,EQ-005,2026-05-09,Inspection,pressure drop with increasing pump temperature,"isolate pump, inspect suction strainer and seal kit, restore pressure before restart",SP-SEAL-001; SP-FILTER-001,251,Hydraulic Leakage suspected on Cooling Water Pump. Action followed SOP_hydraulic_pump_overheating.,FR-015
ML-0016,EQ-003,2026-05-09,Condition-Based,rising vibration and abnormal bearing noise,"inspect bearing housing, verify lubrication flow, replace bearing if vibration remains high",SP-BEAR-001; SP-GREASE-001,159,Bearing Wear suspected on Blast Furnace Blower. Action followed SOP_bearing_replacement.,FR-016
ML-0017,EQ-006,2026-05-09,Condition-Based,rising vibration and abnormal bearing noise,"inspect bearing housing, verify lubrication flow, replace bearing if vibration remains high",SP-BEAR-001; SP-GREASE-001,53,Bearing Wear suspected on Conveyor Drive Unit. Action followed SOP_bearing_replacement.,FR-017
ML-0018,EQ-010,2026-05-10,Condition-Based,rising vibration and abnormal bearing noise,"inspect bearing housing, verify lubrication flow, replace bearing if vibration remains high",SP-BEAR-001; SP-GREASE-001,81,Bearing Wear suspected on Air Compressor. Action followed SOP_bearing_replacement.,FR-018
ML-0019,EQ-012,2026-05-10,Inspection,rising vibration and abnormal bearing noise,"inspect bearing housing, verify lubrication flow, replace bearing if vibration remains high",SP-BEAR-001; SP-GREASE-001,52,Bearing Wear suspected on Cooling Tower Fan. Action followed SOP_bearing_replacement.,FR-019
ML-0020,EQ-001,2026-05-10,Inspection,temperature rise with reduced coolant flow,"flush cooling line, clean strainer, verify flow rate before releasing equipment",SP-FILTER-002; SP-GASKET-001,42,Cooling Flow Restriction suspected on Caster Hydraulic Pump. Action followed SOP_cooling_flow_drop.,FR-020
ML-0021,EQ-009,2026-05-11,Inspection,current spike and repeated overload trip,"check load coupling, verify phase current balance, inspect motor winding temperature",SP-CONTACTOR-001; SP-FUSE-001,83,Motor Overload suspected on Scale Breaker Motor. Action followed SOP_motor_overload_trip.,FR-021
ML-0022,EQ-005,2026-05-15,Inspection,temperature rise with reduced coolant flow,"flush cooling line, clean strainer, verify flow rate before releasing equipment",SP-FILTER-002; SP-GASKET-001,165,Cooling Flow Restriction suspected on Cooling Water Pump. Action followed SOP_cooling_flow_drop.,FR-022
ML-0023,EQ-011,2026-05-15,Corrective,rising vibration and abnormal bearing noise,"inspect bearing housing, verify lubrication flow, replace bearing if vibration remains high",SP-BEAR-001; SP-GREASE-001,152,Bearing Wear suspected on Lubrication Pump. Action followed SOP_bearing_replacement.,FR-023
ML-0024,EQ-008,2026-05-16,Condition-Based,current spike and repeated overload trip,"check load coupling, verify phase current balance, inspect motor winding temperature",SP-CONTACTOR-001; SP-FUSE-001,269,Motor Overload suspected on Reheat Furnace Burner. Action followed SOP_motor_overload_trip.,FR-024
ML-0025,EQ-011,2026-05-16,Condition-Based,temperature rise with reduced coolant flow,"flush cooling line, clean strainer, verify flow rate before releasing equipment",SP-FILTER-002; SP-GASKET-001,131,Cooling Flow Restriction suspected on Lubrication Pump. Action followed SOP_cooling_flow_drop.,FR-025
ML-0026,EQ-007,2026-05-16,Inspection,high vibration during load changes,"check alignment, inspect coupling, tighten foundation bolts, monitor vibration trend",SP-COUPLING-001; SP-BOLT-001,40,Gearbox Misalignment suspected on Dust Collector Fan. Action followed SOP_gearbox_vibration_inspection.,FR-026
ML-0027,EQ-004,2026-05-17,Corrective,high vibration during load changes,"check alignment, inspect coupling, tighten foundation bolts, monitor vibration trend",SP-COUPLING-001; SP-BOLT-001,146,Gearbox Misalignment suspected on Ladle Crane Gearbox. Action followed SOP_gearbox_vibration_inspection.,FR-027
ML-0028,EQ-008,2026-05-17,Condition-Based,current spike and repeated overload trip,"check load coupling, verify phase current balance, inspect motor winding temperature",SP-CONTACTOR-001; SP-FUSE-001,83,Motor Overload suspected on Reheat Furnace Burner. Action followed SOP_motor_overload_trip.,FR-028
ML-0029,EQ-010,2026-05-18,Condition-Based,rising vibration and abnormal bearing noise,"inspect bearing housing, verify lubrication flow, replace bearing if vibration remains high",SP-BEAR-001; SP-GREASE-001,167,Bearing Wear suspected on Air Compressor. Action followed SOP_bearing_replacement.,FR-029
ML-0030,EQ-002,2026-05-19,Condition-Based,temperature rise with reduced coolant flow,"flush cooling line, clean strainer, verify flow rate before releasing equipment",SP-FILTER-002; SP-GASKET-001,268,Cooling Flow Restriction suspected on Rolling Mill Main Motor. Action followed SOP_cooling_flow_drop.,FR-030
ML-0031,EQ-007,2026-05-19,Corrective,rising vibration and abnormal bearing noise,"inspect bearing housing, verify lubrication flow, replace bearing if vibration remains high",SP-BEAR-001; SP-GREASE-001,55,Bearing Wear suspected on Dust Collector Fan. Action followed SOP_bearing_replacement.,FR-031
ML-0032,EQ-011,2026-05-20,Corrective,oil level drop with heat buildup,"top up oil, inspect lubrication line, replace clogged filter, verify pump discharge",SP-OIL-001; SP-FILTER-003,265,Lubrication Failure suspected on Lubrication Pump. Action followed SOP_lubrication_failure_response.,FR-032
ML-0033,EQ-010,2026-05-20,Inspection,rising vibration and abnormal bearing noise,"inspect bearing housing, verify lubrication flow, replace bearing if vibration remains high",SP-BEAR-001; SP-GREASE-001,143,Bearing Wear suspected on Air Compressor. Action followed SOP_bearing_replacement.,FR-033
ML-0034,EQ-007,2026-05-20,Corrective,high vibration during load changes,"check alignment, inspect coupling, tighten foundation bolts, monitor vibration trend",SP-COUPLING-001; SP-BOLT-001,167,Gearbox Misalignment suspected on Dust Collector Fan. Action followed SOP_gearbox_vibration_inspection.,FR-034
ML-0035,EQ-002,2026-05-21,Corrective,current spike and repeated overload trip,"check load coupling, verify phase current balance, inspect motor winding temperature",SP-CONTACTOR-001; SP-FUSE-001,60,Motor Overload suspected on Rolling Mill Main Motor. Action followed SOP_motor_overload_trip.,FR-035
ML-0036,EQ-001,2026-05-23,Corrective,pressure drop with increasing pump temperature,"isolate pump, inspect suction strainer and seal kit, restore pressure before restart",SP-SEAL-001; SP-FILTER-001,158,Hydraulic Leakage suspected on Caster Hydraulic Pump. Action followed SOP_hydraulic_pump_overheating.,FR-036
ML-0037,EQ-009,2026-05-23,Inspection,temperature rise with reduced coolant flow,"flush cooling line, clean strainer, verify flow rate before releasing equipment",SP-FILTER-002; SP-GASKET-001,275,Cooling Flow Restriction suspected on Scale Breaker Motor. Action followed SOP_cooling_flow_drop.,FR-037
ML-0038,EQ-006,2026-05-23,Corrective,current spike and repeated overload trip,"check load coupling, verify phase current balance, inspect motor winding temperature",SP-CONTACTOR-001; SP-FUSE-001,60,Motor Overload suspected on Conveyor Drive Unit. Action followed SOP_motor_overload_trip.,FR-038
ML-0039,EQ-002,2026-05-23,Inspection,rising vibration and abnormal bearing noise,"inspect bearing housing, verify lubrication flow, replace bearing if vibration remains high",SP-BEAR-001; SP-GREASE-001,133,Bearing Wear suspected on Rolling Mill Main Motor. Action followed SOP_bearing_replacement.,FR-039
ML-0040,EQ-008,2026-05-24,Corrective,rising vibration and abnormal bearing noise,"inspect bearing housing, verify lubrication flow, replace bearing if vibration remains high",SP-BEAR-001; SP-GREASE-001,138,Bearing Wear suspected on Reheat Furnace Burner. Action followed SOP_bearing_replacement.,FR-040
ML-0041,EQ-001,2026-05-24,Condition-Based,pressure drop with increasing pump temperature,"isolate pump, inspect suction strainer and seal kit, restore pressure before restart",SP-SEAL-001; SP-FILTER-001,131,Hydraulic Leakage suspected on Caster Hydraulic Pump. Action followed SOP_hydraulic_pump_overheating.,FR-041
ML-0042,EQ-002,2026-05-25,Inspection,rising vibration and abnormal bearing noise,"inspect bearing housing, verify lubrication flow, replace bearing if vibration remains high",SP-BEAR-001; SP-GREASE-001,61,Bearing Wear suspected on Rolling Mill Main Motor. Action followed SOP_bearing_replacement.,FR-042
ML-0043,EQ-011,2026-05-27,Corrective,temperature rise with reduced coolant flow,"flush cooling line, clean strainer, verify flow rate before releasing equipment",SP-FILTER-002; SP-GASKET-001,148,Cooling Flow Restriction suspected on Lubrication Pump. Action followed SOP_cooling_flow_drop.,FR-043
ML-0044,EQ-008,2026-05-27,Inspection,temperature rise with reduced coolant flow,"flush cooling line, clean strainer, verify flow rate before releasing equipment",SP-FILTER-002; SP-GASKET-001,171,Cooling Flow Restriction suspected on Reheat Furnace Burner. Action followed SOP_cooling_flow_drop.,FR-044
ML-0045,EQ-003,2026-05-28,Condition-Based,temperature rise with reduced coolant flow,"flush cooling line, clean strainer, verify flow rate before releasing equipment",SP-FILTER-002; SP-GASKET-001,270,Cooling Flow Restriction suspected on Blast Furnace Blower. Action followed SOP_cooling_flow_drop.,FR-045
ML-0046,EQ-006,2026-05-28,Inspection,current spike and repeated overload trip,"check load coupling, verify phase current balance, inspect motor winding temperature",SP-CONTACTOR-001; SP-FUSE-001,38,Motor Overload suspected on Conveyor Drive Unit. Action followed SOP_motor_overload_trip.,FR-046
ML-0047,EQ-005,2026-05-29,Inspection,temperature rise with reduced coolant flow,"flush cooling line, clean strainer, verify flow rate before releasing equipment",SP-FILTER-002; SP-GASKET-001,80,Cooling Flow Restriction suspected on Cooling Water Pump. Action followed SOP_cooling_flow_drop.,FR-047
ML-0048,EQ-004,2026-05-29,Inspection,oil level drop with heat buildup,"top up oil, inspect lubrication line, replace clogged filter, verify pump discharge",SP-OIL-001; SP-FILTER-003,266,Lubrication Failure suspected on Ladle Crane Gearbox. Action followed SOP_lubrication_failure_response.,FR-048
ML-0049,EQ-008,2026-06-02,Calibration,no abnormality observed,cleaned filter,,87,Routine maintenance record for Reheat Furnace Burner.,
ML-0050,EQ-009,2026-06-04,Lubrication,no abnormality observed,topped up lubricant,,45,Routine maintenance record for Scale Breaker Motor.,
ML-0051,EQ-004,2026-05-02,Calibration,routine inspection,topped up lubricant,,6,Routine maintenance record for Ladle Crane Gearbox.,
ML-0052,EQ-008,2026-05-18,Lubrication,current spike and repeated overload trip,topped up lubricant,SP-CONTACTOR-001,83,Routine maintenance record for Reheat Furnace Burner.,
ML-0053,EQ-012,2026-06-27,Preventive,no abnormality observed,topped up lubricant,,66,Routine maintenance record for Cooling Tower Fan.,
ML-0054,EQ-008,2026-06-23,Preventive,rising vibration and abnormal bearing noise,cleaned filter,,50,Routine maintenance record for Reheat Furnace Burner.,
ML-0055,EQ-005,2026-05-07,Lubrication,pressure drop with increasing pump temperature,topped up lubricant,,65,Routine maintenance record for Cooling Water Pump.,
ML-0056,EQ-010,2026-05-01,Preventive,no abnormality observed,topped up lubricant,,68,Routine maintenance record for Air Compressor.,
ML-0057,EQ-002,2026-06-08,Lubrication,no abnormality observed,topped up lubricant,,20,Routine maintenance record for Rolling Mill Main Motor.,
ML-0058,EQ-009,2026-05-18,Preventive,routine inspection,topped up lubricant,,86,Routine maintenance record for Scale Breaker Motor.,
ML-0059,EQ-011,2026-06-26,Calibration,oil level drop with heat buildup,"top up oil, inspect lubrication line, replace clogged filter, verify pump discharge",SP-OIL-001,56,Routine maintenance record for Lubrication Pump.,
ML-0060,EQ-009,2026-05-06,Preventive,routine inspection,cleaned filter,SP-CONTACTOR-001,73,Routine maintenance record for Scale Breaker Motor.,
ML-0061,EQ-004,2026-06-30,Inspection,routine inspection,cleaned filter,,59,Routine maintenance record for Ladle Crane Gearbox.,
ML-0062,EQ-009,2026-05-09,Lubrication,no abnormality observed,checked alignment,,87,Routine maintenance record for Scale Breaker Motor.,
ML-0063,EQ-002,2026-05-17,Inspection,no abnormality observed,topped up lubricant,,86,Routine maintenance record for Rolling Mill Main Motor.,
ML-0064,EQ-008,2026-05-22,Preventive,rising vibration and abnormal bearing noise,topped up lubricant,SP-BEAR-001,8,Routine maintenance record for Reheat Furnace Burner.,
ML-0065,EQ-003,2026-05-18,Lubrication,no abnormality observed,topped up lubricant,SP-BEAR-001,28,Routine maintenance record for Blast Furnace Blower.,
ML-0066,EQ-002,2026-05-29,Lubrication,temperature rise with reduced coolant flow,cleaned filter,,90,Routine maintenance record for Rolling Mill Main Motor.,
ML-0067,EQ-005,2026-06-06,Inspection,routine inspection,"isolate pump, inspect suction strainer and seal kit, restore pressure before restart",,36,Routine maintenance record for Cooling Water Pump.,
ML-0068,EQ-011,2026-05-05,Lubrication,routine inspection,checked alignment,SP-SEAL-001,3,Routine maintenance record for Lubrication Pump.,
ML-0069,EQ-007,2026-05-05,Inspection,routine inspection,cleaned filter,,25,Routine maintenance record for Dust Collector Fan.,
ML-0070,EQ-012,2026-06-16,Calibration,high vibration during load changes,cleaned filter,SP-COUPLING-001,76,Routine maintenance record for Cooling Tower Fan.,
ML-0071,EQ-005,2026-06-15,Inspection,no abnormality observed,"flush cooling line, clean strainer, verify flow rate before releasing equipment",,75,Routine maintenance record for Cooling Water Pump.,
ML-0072,EQ-009,2026-05-11,Inspection,rising vibration and abnormal bearing noise,"inspect bearing housing, verify lubrication flow, replace bearing if vibration remains high",,6,Routine maintenance record for Scale Breaker Motor.,
ML-0073,EQ-007,2026-06-22,Lubrication,routine inspection,cleaned filter,,41,Routine maintenance record for Dust Collector Fan.,
ML-0074,EQ-010,2026-05-19,Lubrication,no abnormality observed,checked alignment,SP-COUPLING-001,62,Routine maintenance record for Air Compressor.,
ML-0075,EQ-011,2026-05-31,Calibration,no abnormality observed,checked alignment,,79,Routine maintenance record for Lubrication Pump.,
ML-0076,EQ-007,2026-06-10,Inspection,no abnormality observed,"inspect bearing housing, verify lubrication flow, replace bearing if vibration remains high",,6,Routine maintenance record for Dust Collector Fan.,
ML-0077,EQ-009,2026-05-16,Lubrication,no abnormality observed,"inspect bearing housing, verify lubrication flow, replace bearing if vibration remains high",,32,Routine maintenance record for Scale Breaker Motor.,
ML-0078,EQ-005,2026-05-18,Inspection,rising vibration and abnormal bearing noise,"inspect bearing housing, verify lubrication flow, replace bearing if vibration remains high",,65,Routine maintenance record for Cooling Water Pump.,
ML-0079,EQ-009,2026-05-19,Calibration,no abnormality observed,cleaned filter,,0,Routine maintenance record for Scale Breaker Motor.,
ML-0080,EQ-001,2026-06-25,Preventive,no abnormality observed,checked alignment,,80,Routine maintenance record for Caster Hydraulic Pump.,
ML-0081,EQ-004,2026-05-22,Inspection,rising vibration and abnormal bearing noise,"inspect bearing housing, verify lubrication flow, replace bearing if vibration remains high",,1,Routine maintenance record for Ladle Crane Gearbox.,
ML-0082,EQ-006,2026-05-30,Lubrication,temperature rise with reduced coolant flow,"flush cooling line, clean strainer, verify flow rate before releasing equipment",SP-FILTER-002,43,Routine maintenance record for Conveyor Drive Unit.,
ML-0083,EQ-011,2026-05-08,Inspection,pressure drop with increasing pump temperature,cleaned filter,,19,Routine maintenance record for Lubrication Pump.,
ML-0084,EQ-001,2026-06-21,Calibration,routine inspection,topped up lubricant,SP-SEAL-001,28,Routine maintenance record for Caster Hydraulic Pump.,
ML-0085,EQ-011,2026-05-01,Inspection,oil level drop with heat buildup,"top up oil, inspect lubrication line, replace clogged filter, verify pump discharge",SP-OIL-001,24,Routine maintenance record for Lubrication Pump.,
ML-0086,EQ-011,2026-06-11,Inspection,no abnormality observed,topped up lubricant,,10,Routine maintenance record for Lubrication Pump.,
ML-0087,EQ-008,2026-05-28,Calibration,rising vibration and abnormal bearing noise,cleaned filter,,77,Routine maintenance record for Reheat Furnace Burner.,
ML-0088,EQ-001,2026-05-19,Inspection,oil level drop with heat buildup,checked alignment,SP-OIL-001,64,Routine maintenance record for Caster Hydraulic Pump.,
ML-0089,EQ-012,2026-06-11,Lubrication,rising vibration and abnormal bearing noise,checked alignment,,85,Routine maintenance record for Cooling Tower Fan.,
ML-0090,EQ-009,2026-06-17,Calibration,routine inspection,"flush cooling line, clean strainer, verify flow rate before releasing equipment",SP-FILTER-002,58,Routine maintenance record for Scale Breaker Motor.,
ML-0091,EQ-012,2026-06-03,Inspection,temperature rise with reduced coolant flow,"flush cooling line, clean strainer, verify flow rate before releasing equipment",,76,Routine maintenance record for Cooling Tower Fan.,
ML-0092,EQ-008,2026-05-24,Calibration,temperature rise with reduced coolant flow,"flush cooling line, clean strainer, verify flow rate before releasing equipment",,35,Routine maintenance record for Reheat Furnace Burner.,
ML-0093,EQ-009,2026-05-01,Calibration,routine inspection,topped up lubricant,,79,Routine maintenance record for Scale Breaker Motor.,
ML-0094,EQ-005,2026-05-17,Preventive,no abnormality observed,"flush cooling line, clean strainer, verify flow rate before releasing equipment",,16,Routine maintenance record for Cooling Water Pump.,
