log_id,equipment_id,maintenance_date,maintenance_type,symptom,action_taken,parts_replaced,downtime_minutes,technician_notes,linked_failure_report_id
ML-0230,EQ-006,2026-06-29,Preventive,routine inspection,topped up lubricant,,74,Routine maintenance record for Conveyor Drive Unit.,
ML-0231,EQ-010,2026-06-25,Inspection,rising vibration and abnormal bearing noise,cleaned filter,,26,Routine maintenance record for Air Compressor.,
ML-0232,EQ-003,2026-06-29,Preventive,no abnormality observed,cleaned filter,,65,Routine maintenance record for Blast Furnace Blower.,
ML-0233,EQ-001,2026-06-12,Preventive,routine inspection,"isolate pump, inspect suction strainer and seal kit, restore pressure before restart",,2,Routine maintenance record for Caster Hydraulic Pump.,
ML-0234,EQ-001,2026-06-19,Lubrication,routine inspection,cleaned filter,,59,Routine maintenance record for Caster Hydraulic Pump.,
ML-0235,EQ-002,2026-06-23,Calibration,routine inspection,cleaned filter,,44,Routine maintenance record for Rolling Mill Main Motor.,
ML-0236,EQ-011,2026-05-20,Lubrication,rising vibration and abnormal bearing noise,checked alignment,,25,Routine maintenance record for Lubrication Pump.,
ML-0237,EQ-003,2026-06-15,Lubrication,no abnormality observed,topped up lubricant,,6,Routine maintenance record for Blast Furnace Blower.,
ML-0238,EQ-002,2026-05-24,Calibration,rising vibration and abnormal bearing noise,checked alignment,SP-BEAR-001,55,Routine maintenance record for Rolling Mill Main Motor.,
ML-0239,EQ-007,2026-06-01,Inspection,routine inspection,"flush cooling line, clean strainer, verify flow rate before releasing equipment",SP-FILTER-002,22,Routine maintenance record for Dust Collector Fan.,
ML-0240,EQ-007,2026-05-14,Calibration,no abnormality observed,topped up lubricant,SP-BEAR-001,13,Routine maintenance record for Dust Collector Fan.,
ML-0241,EQ-003,2026-06-06,Preventive,routine inspection,"inspect bearing housing, verify lubrication flow, replace bearing if vibration remains high",SP-BEAR-001,34,Routine maintenance record for Blast Furnace Blower.,
ML-0242,EQ-010,2026-06-10,Lubrication,no abnormality observed,checked alignment,,57,Routine maintenance record for Air Compressor.,
ML-0243,EQ-010,2026-06-09,Inspection,high vibration during load changes,checked alignment,,90,Routine maintenance record for Air Compressor.,
ML-0244,EQ-006,2026-06-19,Calibration,no abnormality observed,topped up lubricant,SP-BEAR-001,74,Routine maintenance record for Conveyor Drive Unit.,
ML-0245,EQ-010,2026-05-22,Inspection,temperature rise with reduced coolant flow,cleaned filter,,0,Routine maintenance record for Air Compressor.,
ML-0246,EQ-001,2026-06-21,Inspection,routine inspection,"isolate pump, inspect suction strainer and seal kit, restore pressure before restart",SP-SEAL-001,56,Routine maintenance record for Caster Hydraulic Pump.,
ML-0247,EQ-002,2026-06-22,Preventive,rising vibration and abnormal bearing noise,"inspect bearing housing, verify lubrication flow, replace bearing if vibration remains high",,89,Routine maintenance record for Rolling Mill Main Motor.,
ML-0248,EQ-009,2026-05-23,Lubrication,current spike and repeated overload trip,"check load coupling, verify phase current balance, inspect motor winding temperature",SP-CONTACTOR-001,14,Routine maintenance record for Scale Breaker Motor.,
ML-0249,EQ-007,2026-06-07,Inspection,no abnormality observed,checked alignment,SP-COUPLING-001,9,Routine maintenance record for Dust Collector Fan.,
ML-0250,EQ-007,2026-06-14,Lubrication,rising vibration and abnormal bearing noise,cleaned filter,SP-BEAR-001,55,Routine maintenance record for Dust Collector Fan.,
ML-0251,EQ-004,2026-06-23,Inspection,high vibration during load changes,checked alignment,,53,Routine maintenance record for Ladle Crane Gearbox.,
ML-0252,EQ-009,2026-05-04,Lubrication,rising vibration and abnormal bearing noise,"inspect bearing housing, verify lubrication flow, replace bearing if vibration remains high",,71,Routine maintenance record for Scale Breaker Motor.,
ML-0253,EQ-004,2026-05-27,Calibration,routine inspection,"top up oil, inspect lubrication line, replace clogged filter, verify pump discharge",,54,Routine maintenance record for Ladle Crane Gearbox.,
ML-0254,EQ-003,2026-06-12,Calibration,no abnormality observed,topped up lubricant,,24,Routine maintenance record for Blast Furnace Blower.,
ML-0255,EQ-001,2026-06-04,Lubrication,routine inspection,cleaned filter,,24,Routine maintenance record for Caster Hydraulic Pump.,
ML-0256,EQ-004,2026-05-29,Lubrication,no abnormality observed,"check alignment, inspect coupling, tighten foundation bolts, monitor vibration trend",,81,Routine maintenance record for Ladle Crane Gearbox.,
ML-0257,EQ-011,2026-05-28,Inspection,temperature rise with reduced coolant flow,"flush cooling line, clean strainer, verify flow rate before releasing equipment",SP-FILTER-002,81,Routine maintenance record for Lubrication Pump.,
ML-0258,EQ-011,2026-05-30,Inspection,no abnormality observed,cleaned filter,,60,Routine maintenance record for Lubrication Pump.,
ML-0259,EQ-008,2026-06-11,Preventive,no abnormality observed,checked alignment,SP-BEAR-001,6,Routine maintenance record for Reheat Furnace Burner.,
ML-0260,EQ-001,2026-05-23,Preventive,temperature rise with reduced coolant flow,checked alignment,SP-FILTER-002,48,Routine maintenance record for Caster Hydraulic Pump.,
ML-0261,EQ-004,2026-05-08,Calibration,rising vibration and abnormal bearing noise,cleaned filter,,6,Routine maintenance record for Ladle Crane Gearbox.,
ML-0262,EQ-006,2026-06-16,Inspection,no abnormality observed,topped up lubricant,SP-FILTER-002,88,Routine maintenance record for Conveyor Drive Unit.,
ML-0263,EQ-004,2026-05-19,Calibration,no abnormality observed,"inspect bearing housing, verify lubrication flow, replace bearing if vibration remains high",SP-BEAR-001,17,Routine maintenance record for Ladle Crane Gearbox.,
ML-0264,EQ-002,2026-05-30,Calibration,no abnormality observed,"inspect bearing housing, verify lubrication flow, replace bearing if vibration remains high",,62,Routine maintenance record for Rolling Mill Main Motor.,
ML-0265,EQ-002,2026-06-20,Inspection,temperature rise with reduced coolant flow,"flush cooling line, clean strainer, verify flow rate before releasing equipment",SP-FILTER-002,84,Routine maintenance record for Rolling Mill Main Motor.,
ML-0266,EQ-010,2026-05-01,Calibration,temperature rise with reduced coolant flow,"flush cooling line, clean strainer, verify flow rate before releasing equipment",SP-FILTER-002,84,Routine maintenance record for Air Compressor.,
ML-0267,EQ-007,2026-05-06,Calibration,high vibration during load changes,checked alignment,,7,Routine maintenance record for Dust Collector Fan.,
ML-0268,EQ-005,2026-05-22,Inspection,routine inspection,checked alignment,,56,Routine maintenance record for Cooling Water Pump.,
ML-0269,EQ-012,2026-06-11,Inspection,temperature rise with reduced coolant flow,topped up lubricant,SP-FILTER-002,44,Routine maintenance record for Cooling Tower Fan.,
ML-0270,EQ-004,2026-05-14,Inspection,no abnormality observed,topped up lubricant,,56,Routine maintenance record for Ladle Crane Gearbox.,
ML-0271,EQ-010,2026-05-01,Calibration,high vibration during load changes,topped up lubricant,,25,Routine maintenance record for Air Compressor.,
ML-0272,EQ-011,2026-05-23,Preventive,temperature rise with reduced coolant flow,"flush cooling line, clean strainer, verify flow rate before releasing equipment",,13,Routine maintenance record for Lubrication Pump.,
ML-0273,EQ-006,2026-05-08,Inspection,current spike and repeated overload trip,"check load coupling, verify phase current balance, inspect motor winding temperature",,59,Routine maintenance record for Conveyor Drive Unit.,
ML-0274,EQ-010,2026-05-10,Preventive,no abnormality observed,cleaned filter,SP-COUPLING-001,49,Routine maintenance record for Air Compressor.,
ML-0275,EQ-005,2026-06-24,Inspection,routine inspection,topped up lubricant,SP-BEAR-001,58,Routine maintenance record for Cooling Water Pump.,
ML-0276,EQ-006,2026-05-09,Preventive,no abnormality observed,cleaned filter,,33,Routine maintenance record for Conveyor Drive Unit.,
ML-0277,EQ-007,2026-06-15,Lubrication,high vibration during load changes,cleaned filter,,74,Routine maintenance record for Dust Collector Fan.,
ML-0278,EQ-006,2026-06-05,Inspection,no abnormality observed,checked alignment,SP-BEAR-001,14,Routine maintenance record for Conveyor Drive Unit.,
ML-0279,EQ-010,2026-05-01,Preventive,routine inspection,checked alignment,SP-BEAR-001,73,Routine maintenance record for Air Compressor.,
ML-0280,EQ-006,2026-06-18,Lubrication,routine inspection,checked alignment,SP-FILTER-002,13,Routine maintenance record for Conveyor Drive Unit.,
ML-0281,EQ-009,2026-06-26,Lubrication,no abnormality observed,topped up lubricant,,87,Routine maintenance record for Scale Breaker Motor.,
ML-0282,EQ-003,2026-05-11,Inspection,no abnormality observed,"check alignment, inspect coupling, tighten foundation bolts, monitor vibration trend",,28,Routine maintenance record for Blast Furnace Blower.,
ML-0283,EQ-008,2026-05-13,Preventive,temperature rise with reduced coolant flow,checked alignment,,5,Routine maintenance record for Reheat Furnace Burner.,
ML-0284,EQ-003,2026-05-02,Preventive,no abnormality observed,topped up lubricant,,67,Routine maintenance record for Blast Furnace Blower.,
ML-0285,EQ-008,2026-05-05,Calibration,current spike and repeated overload trip,topped up lubricant,,0,Routine maintenance record for Reheat Furnace Burner.,
ML-0286,EQ-006,2026-06-09,Inspection,routine inspection,topped up lubricant,SP-CONTACTOR-001,41,Routine maintenance record for Conveyor Drive Unit.,
ML-0287,EQ-003,2026-05-29,Preventive,routine inspection,"inspect bearing housing, verify lubrication flow, replace bearing if vibration remains high",,45,Routine maintenance record for Blast Furnace Blower.,
ML-0288,EQ-001,2026-06-16,Inspection,routine inspection,cleaned filter,,78,Routine maintenance record for Caster Hydraulic Pump.,
ML-0289,EQ-005,2026-06-11,Preventive,oil level drop with heat buildup,checked alignment,,16,Routine maintenance record for Cooling Water Pump.,
ML-0290,EQ-012,2026-06-05,Lubrication,rising vibration and abnormal bearing noise,checked alignment,SP-BEAR-001,84,Routine maintenance record for Cooling Tower Fan.,
ML-0291,EQ-001,2026-06-20,Lubrication,no abnormality observed,topped up lubricant,SP-BEAR-001,65,Routine maintenance record for Caster Hydraulic Pump.,
ML-0292,EQ-001,2026-05-19,Inspection,rising vibration and abnormal bearing noise,topped up lubricant,SP-BEAR-001,26,Routine maintenance record for Caster Hydraulic Pump.,
ML-0293,EQ-010,2026-06-02,Calibration,routine inspection,cleaned filter,SP-COUPLING-001,14,Routine maintenance record for Air Compressor.,
ML-0294,EQ-010,2026-05-22,Inspection,high vibration during load changes,cleaned filter,SP-COUPLING-001,30,Routine maintenance record for Air Compressor.,
ML-0295,EQ-006,2026-05-06,Calibration,no abnormality observed,checked alignment,SP-BEAR-001,21,Routine maintenance record for Conveyor Drive Unit.,
ML-0296,EQ-011,2026-05-25,Preventive,no abnormality observed,"flush cooling line, clean strainer, verify flow rate before releasing equipment",,75,Routine maintenance record for Lubrication Pump.,
ML-0297,EQ-005,2026-06-28,Lubrication,oil level drop with heat buildup,topped up lubricant,SP-OIL-001,74,Routine maintenance record for Cooling Water Pump.,
ML-0298,EQ-007,2026-05-10,Inspection,rising vibration and abnormal bearing noise,"inspect bearing housing, verify lubrication flow, replace bearing if vibration remains high",,25,Routine maintenance record for Dust Collector Fan.,
ML-0299,EQ-002,2026-06-17,Inspection,routine inspection,"check load coupling, verify phase current balance, inspect motor winding temperature",SP-CONTACTOR-001,16,Routine maintenance record for Rolling Mill Main Motor.,
ML-0300,EQ-001,2026-06-20,Inspection,routine inspection,cleaned filter,,56,Routine maintenance record for Caster Hydraulic Pump.,
ML-0301,EQ-005,2026-06-02,Lubrication,routine inspection,"inspect bearing housing, verify lubrication flow, replace bearing if vibration remains high",SP-BEAR-001,79,Routine maintenance record for Cooling Water Pump.,
ML-0302,EQ-003,2026-05-04,Calibration,no abnormality observed,cleaned filter,SP-COUPLING-001,78,Routine maintenance record for Blast Furnace Blower.,
ML-0303,EQ-002,2026-06-30,Preventive,rising vibration and abnormal bearing noise,checked alignment,SP-BEAR-001,36,Routine maintenance record for Rolling Mill Main Motor.,
ML-0304,EQ-003,2026-06-04,Inspection,rising vibration and abnormal bearing noise,"inspect bearing housing, verify lubrication flow, replace bearing if vibration remains high",SP-BEAR-001,55,Routine maintenance record for Blast Furnace Blower.,
ML-0305,EQ-011,2026-06-01,Inspection,no abnormality observed,cleaned filter,,25,Routine maintenance record for Lubrication Pump.,
ML-0306,EQ-004,2026-05-19,Preventive,rising vibration and abnormal bearing noise,cleaned filter,,31,Routine maintenance record for Ladle Crane Gearbox.,
ML-0307,EQ-007,2026-06-21,Inspection,temperature rise with reduced coolant flow,topped up lubricant,,33,Routine maintenance record for Dust Collector Fan.,
ML-0308,EQ-001,2026-05-26,Inspection,routine inspection,topped up lubricant,SP-SEAL-001,82,Routine maintenance record for Caster Hydraulic Pump.,
ML-0309,EQ-007,2026-05-13,Inspection,temperature rise with reduced coolant flow,cleaned filter,,32,Routine maintenance record for Dust Collector Fan.,
ML-0310,EQ-002,2026-06-05,Preventive,rising vibration and abnormal bearing noise,"inspect bearing housing, verify lubrication flow, replace bearing if vibration remains high",,5,Routine maintenance record for Rolling Mill Main Motor.,
ML-0311,EQ-006,2026-05-20,Lubrication,rising vibration and abnormal bearing noise,topped up lubricant,,63,Routine maintenance record for Conveyor Drive Unit.,
ML-0312,EQ-006,2026-06-04,Inspection,no abnormality observed,checked alignment,,14,Routine maintenance record for Conveyor Drive Unit.,
ML-0313,EQ-012,2026-06-27,Lubrication,routine inspection,topped up lubricant,,18,Routine maintenance record for Cooling Tower Fan.,
ML-0314,EQ-006,2026-06-16,Preventive,no abnormality observed,"check load coupling, verify phase current balance, inspect motor winding temperature",,35,Routine maintenance record for Conveyor Drive Unit.,
ML-0315,EQ-012,2026-05-26,Calibration,high vibration during load changes,"check alignment, inspect coupling, tighten foundation bolts, monitor vibration trend",,27,Routine maintenance record for Cooling Tower Fan.,
ML-0316,EQ-012,2026-05-30,Lubrication,temperature rise with reduced coolant flow,topped up lubricant,,40,Routine maintenance record for Cooling Tower Fan.,
ML-0317,EQ-005,2026-05-22,Calibration,routine inspection,checked alignment,,28,Routine maintenance record for Cooling Water Pump.,
ML-0318,EQ-012,2026-05-09,Preventive,no abnormality observed,checked alignment,SP-BEAR-001,24,Routine maintenance record for Cooling Tower Fan.,
ML-0319,EQ-011,2026-06-07,Preventive,routine inspection,topped up lubricant,,24,Routine maintenance record for Lubrication Pump.,
ML-0320,EQ-009,2026-06-26,Preventive,routine inspection,topped up lubricant,,21,Routine maintenance record for Scale Breaker Motor.,
ML-0321,EQ-010,2026-05-25,Preventive,routine inspection,cleaned filter,,88,Routine maintenance record for Air Compressor.,
ML-0322,EQ-002,2026-06-17,Inspection,routine inspection,"inspect bearing housing, verify lubrication flow, replace bearing if vibration remains high",,11,Routine maintenance record for Rolling Mill Main Motor.,
ML-0323,EQ-011,2026-06-20,Preventive,routine inspection,cleaned filter,,38,Routine maintenance record for Lubrication Pump.,
ML-0324,EQ-005,2026-05-18,Inspection,no abnormality observed,"flush cooling line, clean strainer, verify flow rate before releasing equipment",,46,Routine maintenance record for Cooling Water Pump.,
ML-0325,EQ-012,2026-06-25,Lubrication,no abnormality observed,topped up lubricant,SP-BEAR-001,81,Routine maintenance record for Cooling Tower Fan.,
ML-0326,EQ-010,2026-05-19,Calibration,routine inspection,cleaned filter,SP-COUPLING-001,52,Routine maintenance record for Air Compressor.,
ML-0327,EQ-001,2026-05-03,Inspection,temperature rise with reduced coolant flow,"flush cooling line, clean strainer, verify flow rate before releasing equipment",SP-FILTER-002,19,Routine maintenance record for Caster Hydraulic Pump.,
ML-0328,EQ-009,2026-05-21,Calibration,no abnormality observed,cleaned filter,SP-CONTACTOR-001,47,Routine maintenance record for Scale Breaker Motor.,
ML-0329,EQ-011,2026-05-08,Lubrication,routine inspection,cleaned filter,,34,Routine maintenance record for Lubrication Pump.,
ML-0330,EQ-004,2026-06-18,Calibration,rising vibration and abnormal bearing noise,"inspect bearing housing, verify lubrication flow, replace bearing if vibration remains high",SP-BEAR-001,7,Routine maintenance record for Ladle Crane Gearbox.,
ML-0331,EQ-009,2026-05-10,Inspection,temperature rise with reduced coolant flow,topped up lubricant,SP-FILTER-002,47,Routine maintenance record for Scale Breaker Motor.,
ML-0332,EQ-003,2026-06-22,Inspection,routine inspection,cleaned filter,SP-BEAR-001,36,Routine maintenance record for Blast Furnace Blower.,
ML-0333,EQ-004,2026-05-11,Inspection,routine inspection,checked alignment,SP-BEAR-001,45,Routine maintenance record for Ladle Crane Gearbox.,
ML-0334,EQ-011,2026-06-28,Calibration,routine inspection,"isolate pump, inspect suction strainer and seal kit, restore pressure before restart",,74,Routine maintenance record for Lubrication Pump.,
ML-0335,EQ-009,2026-06-17,Lubrication,rising vibration and abnormal bearing noise,topped up lubricant,SP-BEAR-001,68,Routine maintenance record for Scale Breaker Motor.,
ML-0336,EQ-001,2026-06-03,Preventive,routine inspection,topped up lubricant,,3,Routine maintenance record for Caster Hydraulic Pump.,
ML-0337,EQ-012,2026-06-04,Inspection,no abnormality observed,cleaned filter,,29,Routine maintenance record for Cooling Tower Fan.,
ML-0338,EQ-012,2026-05-05,Calibration,temperature rise with reduced coolant flow,"flush cooling line, clean strainer, verify flow rate before releasing equipment",,49,Routine maintenance record for Cooling Tower Fan.,
ML-0339,EQ-007,2026-05-22,Calibration,high vibration during load changes,topped up lubricant,,75,Routine maintenance record for Dust Collector Fan.,
ML-0340,EQ-004,2026-06-16,Lubrication,no abnormality observed,checked alignment,,41,Routine maintenance record for Ladle Crane Gearbox.,
ML-0341,EQ-010,2026-05-17,Calibration,no abnormality observed,"inspect bearing housing, verify lubrication flow, replace bearing if vibration remains high",SP-BEAR-001,16,Routine maintenance record for Air Compressor.,
ML-0342,EQ-011,2026-05-03,Calibration,no abnormality observed,checked alignment,,72,Routine maintenance record for Lubrication Pump.,
ML-0343,EQ-002,2026-05-03,Inspection,routine inspection,cleaned filter,SP-FILTER-002,65,Routine maintenance record for Rolling Mill Main Motor.,
ML-0344,EQ-005,2026-05-09,Inspection,no abnormality observed,checked alignment,,62,Routine maintenance record for Cooling Water Pump.,
ML-0345,EQ-010,2026-06-29,Inspection,high vibration during load changes,"check alignment, inspect coupling, tighten foundation bolts, monitor vibration trend",SP-COUPLING-001,81,Routine maintenance record for Air Compressor.,
ML-0346,EQ-011,2026-05-23,Preventive,no abnormality observed,"flush cooling line, clean strainer, verify flow rate before releasing equipment",,86,Routine maintenance record for Lubrication Pump.,
ML-0347,EQ-011,2026-06-13,Lubrication,no abnormality observed,checked alignment,,53,Routine maintenance record for Lubrication Pump.,
ML-0348,EQ-007,2026-06-26,Calibration,high vibration during load changes,checked alignment,,16,Routine maintenance record for Dust Collector Fan.,
ML-0349,EQ-001,2026-06-15,Preventive,rising vibration and abnormal bearing noise,checked alignment,,5,Routine maintenance record for Caster Hydraulic Pump.,
ML-0350,EQ-009,2026-06-07,Preventive,no abnormality observed,cleaned filter,,48,Routine maintenance record for Scale Breaker Motor.,
ML-0351,EQ-004,2026-05-12,Calibration,oil level drop with heat buildup,"top up oil, inspect lubrication line, replace clogged filter, verify pump discharge",SP-OIL-001,38,Routine maintenance record for Ladle Crane Gearbox.,
ML-0352,EQ-012,2026-06-01,Inspection,no abnormality observed,"inspect bearing housing, verify lubrication flow, replace bearing if vibration remains high",,48,Routine maintenance record for Cooling Tower Fan.,
ML-0353,EQ-008,2026-05-10,Lubrication,rising vibration and abnormal bearing noise,cleaned filter,SP-BEAR-001,12,Routine maintenance record for Reheat Furnace Burner.,
ML-0354,EQ-002,2026-05-27,Preventive,no abnormality observed,topped up lubricant,,65,Routine maintenance record for Rolling Mill Main Motor.,
ML-0355,EQ-012,2026-05-22,Calibration,no abnormality observed,checked alignment,,9,Routine maintenance record for Cooling Tower Fan.,
ML-0356,EQ-012,2026-05-23,Calibration,routine inspection,checked alignment,SP-FILTER-002,1,Routine maintenance record for Cooling Tower Fan.,
ML-0357,EQ-010,2026-05-03,Inspection,no abnormality observed,cleaned filter,SP-BEAR-001,17,Routine maintenance record for Air Compressor.,
ML-0358,EQ-012,2026-06-26,Lubrication,no abnormality observed,checked alignment,,1,Routine maintenance record for Cooling Tower Fan.,
ML-0359,EQ-011,2026-06-12,Lubrication,no abnormality observed,checked alignment,,76,Routine maintenance record for Lubrication Pump.,
ML-0360,EQ-002,2026-06-11,Calibration,no abnormality observed,checked alignment,SP-FILTER-002,29,Routine maintenance record for Rolling Mill Main Motor.,
ML-0361,EQ-012,2026-05-07,Lubrication,temperature rise with reduced coolant flow,cleaned filter,SP-FILTER-002,43,Routine maintenance record for Cooling Tower Fan.,
ML-0362,EQ-003,2026-05-01,Calibration,no abnormality observed,cleaned filter,,81,Routine maintenance record for Blast Furnace Blower.,
ML-0363,EQ-010,2026-05-29,Lubrication,no abnormality observed,checked alignment,,4,Routine maintenance record for Air Compressor.,
ML-0364,EQ-008,2026-05-23,Inspection,no abnormality observed,topped up lubricant,,54,Routine maintenance record for Reheat Furnace Burner.,
